Date,Close
1/3/16,109.82
2/3/16,109.95
3/3/16,109.58
4/3/16,108.39
7/3/16,105.73
8/3/16,105.93
9/3/16,107.51
10/3/16,107.32
11/3/16,109.41
14/03/2016,109.89
15/03/2016,110.67
16/03/2016,112.18
17/03/2016,111.02
18/03/2016,111.45
21/03/2016,111.85
22/03/2016,112.25
23/03/2016,112.54
24/03/2016,113.05
28/03/2016,113.69
29/03/2016,116.14
30/03/2016,114.7
31/03/2016,114.1
1/4/16,116.06
4/4/16,112.55
5/4/16,112.22
6/4/16,113.71
7/4/16,113.64
8/4/16,110.63
11/4/16,108.99
12/4/16,110.61
13/04/2016,110.51
14/04/2016,110.84
15/04/2016,109.64
18/04/2016,110.45
19/04/2016,112.29
20/04/2016,112.42
21/04/2016,113.44
22/04/2016,110.56
25/04/2016,110.1
26/04/2016,108.76
27/04/2016,108.89
28/04/2016,116.73
29/04/2016,117.58
2/5/16,118.57
3/5/16,117.43
4/5/16,118.06
5/5/16,117.81
6/5/16,119.49
9/5/16,119.24
10/5/16,120.5
11/5/16,119.52
12/5/16,120.28
13/05/2016,119.81
16/05/2016,118.67
17/05/2016,117.35
18/05/2016,117.65
19/05/2016,116.81
20/05/2016,117.35
23/05/2016,115.97
24/05/2016,117.7
25/05/2016,117.89
26/05/2016,119.47
27/05/2016,119.38
31/05/2016,118.81
1/6/16,118.78
2/6/16,118.93
3/6/16,118.47
6/6/16,118.79
7/6/16,117.76
8/6/16,118.39
9/6/16,118.56
10/6/16,116.62
13/06/2016,113.95
14/06/2016,114.94
15/06/2016,114.6
16/06/2016,114.39
17/06/2016,113.02
20/06/2016,113.37
21/06/2016,114.38
22/06/2016,113.91
23/06/2016,115.08
24/06/2016,112.08
27/06/2016,108.97
28/06/2016,112.7
29/06/2016,114.16
30/06/2016,114.28
1/7/16,114.19
5/7/16,114
6/7/16,116.7
7/7/16,115.85
8/7/16,117.24
11/7/16,117.87
12/7/16,117.93
13/07/2016,116.78
14/07/2016,117.29
15/07/2016,116.86
18/07/2016,119.37
19/07/2016,120.61
20/07/2016,121.92
21/07/2016,120.61
22/07/2016,121
25/07/2016,121.63
26/07/2016,121.22
27/07/2016,123.34
28/07/2016,125
29/07/2016,123.94
1/8/16,124.31
2/8/16,123.09
3/8/16,122.51
4/8/16,124.36
5/8/16,125.15
8/8/16,125.26
9/8/16,125.06
10/8/16,124.88
11/8/16,124.9
12/8/16,124.88
15/08/2016,123.9
16/08/2016,123.3
17/08/2016,124.37
18/08/2016,123.91
19/08/2016,123.56
22/08/2016,124.15
23/08/2016,124.37
24/08/2016,123.48
25/08/2016,123.89
26/08/2016,124.96
29/08/2016,126.54
30/08/2016,125.84
31/08/2016,126.12
1/9/16,126.17
2/9/16,126.51
6/9/16,129.73
7/9/16,131.05
8/9/16,130.27
9/9/16,127.1
12/9/16,128.69
13/09/2016,127.21
14/09/2016,127.77
15/09/2016,128.35
16/09/2016,129.07
19/09/2016,128.65
20/09/2016,128.64
21/09/2016,129.94
22/09/2016,130.08
23/09/2016,127.96
26/09/2016,127.31
27/09/2016,128.69
28/09/2016,129.23
29/09/2016,128.09
30/09/2016,128.27
3/10/16,128.77
4/10/16,128.19
5/10/16,128.47
6/10/16,128.74
7/10/16,128.99
10/10/16,130.24
11/10/16,128.88
12/10/16,129.05
13/10/2016,127.82
14/10/2016,127.88
17/10/2016,127.54
18/10/2016,128.57
19/10/2016,130.11
20/10/2016,130
21/10/2016,132.07
24/10/2016,133.28
25/10/2016,132.29
26/10/2016,131.04
27/10/2016,129.69
28/10/2016,131.29
31/10/2016,130.99
1/11/16,129.5
2/11/16,127.17
3/11/16,120
4/11/16,120.75
7/11/16,122.15
8/11/16,124.22
9/11/16,123.18
10/11/16,120.8
11/11/16,119.02
14/11/2016,115.08
15/11/2016,117.2
16/11/2016,116.34
17/11/2016,117.79
18/11/2016,117.02
21/11/2016,121.77
22/11/2016,121.47
23/11/2016,120.84
25/11/2016,120.38
28/11/2016,120.41
29/11/2016,120.87
30/11/2016,118.42
1/12/16,115.1
2/12/16,115.4
5/12/16,117.43
6/12/16,117.31
7/12/16,117.95
8/12/16,118.91
9/12/16,119.68
12/12/16,117.77
13/12/2016,120.31
14/12/2016,120.21
15/12/2016,120.57
16/12/2016,119.87
19/12/2016,119.24
20/12/2016,119.09
21/12/2016,119.04
22/12/2016,117.4
23/12/2016,117.27
27/12/2016,118.01
28/12/2016,116.92
29/12/2016,116.35
30/12/2016,115.05
3/1/17,116.86
4/1/17,118.69
5/1/17,120.67
6/1/17,123.41
9/1/17,124.9
10/1/17,124.35
11/1/17,126.09
12/1/17,126.62
13/01/2017,128.34
17/01/2017,127.87
18/01/2017,127.92
19/01/2017,127.55
20/01/2017,127.04
23/01/2017,128.93
24/01/2017,129.37
25/01/2017,131.48
26/01/2017,132.78
27/01/2017,132.18
30/01/2017,130.98
31/01/2017,130.32
1/2/17,133.23
2/2/17,130.84
3/2/17,130.98
6/2/17,132.06
7/2/17,131.84
8/2/17,134.2
9/2/17,134.14
10/2/17,134.19
13/02/2017,134.05
14/02/2017,133.85
15/02/2017,133.44
16/02/2017,133.84
17/02/2017,133.53
21/02/2017,133.72
22/02/2017,136.12
23/02/2017,135.36
24/02/2017,135.44
27/02/2017,136.41
28/02/2017,135.54
1/3/17,137.42
2/3/17,136.76
3/3/17,137.17
6/3/17,137.42
7/3/17,137.3
8/3/17,137.72
9/3/17,138.24
10/3/17,138.79
13/03/2017,139.6
14/03/2017,139.32
15/03/2017,139.72
16/03/2017,139.99
17/03/2017,139.84
20/03/2017,139.94
21/03/2017,138.51
22/03/2017,139.59
23/03/2017,139.53
24/03/2017,140.34
27/03/2017,140.32
28/03/2017,141.76
29/03/2017,142.65
30/03/2017,142.41
31/03/2017,142.05
3/4/17,142.28
4/4/17,141.73
5/4/17,141.85
6/4/17,141.17
7/4/17,140.78
10/4/17,141.04
11/4/17,139.92
12/4/17,139.58
13/04/2017,139.39
17/04/2017,141.42
18/04/2017,140.96
19/04/2017,142.27
20/04/2017,143.8
21/04/2017,143.68
24/04/2017,145.47
25/04/2017,146.49
26/04/2017,146.56
27/04/2017,147.7
28/04/2017,150.25
1/5/17,152.46
2/5/17,152.78
3/5/17,151.8
4/5/17,150.85
5/5/17,150.24
8/5/17,151.06
9/5/17,150.48
10/5/17,150.29
11/5/17,150.04
12/5/17,150.33
15/05/2017,150.19
16/05/2017,149.78
17/05/2017,144.85
18/05/2017,147.66
19/05/2017,148.06
22/05/2017,148.24
23/05/2017,148.07
24/05/2017,150.04
25/05/2017,151.96
26/05/2017,152.13
30/05/2017,152.38
31/05/2017,151.46
1/6/17,151.53
2/6/17,153.61
5/6/17,153.63
6/6/17,152.81
7/6/17,153.12
8/6/17,154.71
9/6/17,149.6
12/6/17,148.44
13/06/2017,150.68
14/06/2017,150.25
15/06/2017,149.8
16/06/2017,150.64
19/06/2017,152.87
20/06/2017,152.25
21/06/2017,153.91
22/06/2017,153.4
23/06/2017,155.07
26/06/2017,153.59
27/06/2017,150.58
28/06/2017,153.24
29/06/2017,151.04
30/06/2017,150.98
3/7/17,148.43
5/7/17,150.34
6/7/17,148.82
7/7/17,151.44
10/7/17,153.5
11/7/17,155.27
12/7/17,158.9
13/07/2017,159.26
14/07/2017,159.97
17/07/2017,159.73
18/07/2017,162.86
19/07/2017,164.14
20/07/2017,164.53
21/07/2017,164.43
24/07/2017,166
25/07/2017,165.28
26/07/2017,165.61
27/07/2017,170.44
28/07/2017,172.45
31/07/2017,169.25
1/8/17,169.86
2/8/17,169.3
3/8/17,168.59
4/8/17,169.62
7/8/17,171.98
8/8/17,171.23
9/8/17,171.18
10/8/17,167.4
11/8/17,168.08
14/08/2017,170.75
15/08/2017,171
16/08/2017,170
17/08/2017,166.91
18/08/2017,167.41
21/08/2017,167.78
22/08/2017,169.64
23/08/2017,168.71
24/08/2017,167.74
25/08/2017,166.32
28/08/2017,167.24
29/08/2017,168.05
30/08/2017,169.92
31/08/2017,171.97
1/9/17,172.02
5/9/17,170.72
6/9/17,172.09
7/9/17,173.21
8/9/17,170.95
11/9/17,173.51
12/9/17,172.96
13/09/2017,173.05
14/09/2017,170.96
15/09/2017,171.64
18/09/2017,170.01
19/09/2017,172.52
20/09/2017,172.17
21/09/2017,171.11
22/09/2017,170.54
25/09/2017,162.87
26/09/2017,164.21
27/09/2017,167.68
28/09/2017,168.73
29/09/2017,170.87
2/10/17,169.47
3/10/17,169.96
4/10/17,168.42
5/10/17,171.24
6/10/17,172.23
9/10/17,172.5
10/10/17,171.59
11/10/17,172.74
12/10/17,172.55
13/10/2017,173.74
16/10/2017,174.52
17/10/2017,176.11
18/10/2017,176.03
19/10/2017,174.56
20/10/2017,174.98
23/10/2017,171.27
24/10/2017,171.8
25/10/2017,170.6
26/10/2017,170.63
27/10/2017,177.88
30/10/2017,179.87
31/10/2017,180.06
1/11/17,182.66
2/11/17,178.92
3/11/17,178.92
6/11/17,180.17
7/11/17,180.25
8/11/17,179.56
9/11/17,179.3
10/11/17,178.46
13/11/2017,178.77
14/11/2017,178.07
15/11/2017,177.95
16/11/2017,179.59
17/11/2017,179
20/11/2017,178.74
21/11/2017,181.86
22/11/2017,180.87
24/11/2017,182.78
27/11/2017,183.03
28/11/2017,182.42
29/11/2017,175.13
30/11/2017,177.18
1/12/17,175.1
4/12/17,171.47
5/12/17,172.83
6/12/17,176.06
7/12/17,180.14
8/12/17,179
11/12/17,179.04
12/12/17,176.96
13/12/2017,178.3
14/12/2017,178.39
15/12/2017,180.18
18/12/2017,180.82
19/12/2017,179.51
20/12/2017,177.89
21/12/2017,177.45
22/12/2017,177.2
26/12/2017,175.99
27/12/2017,177.62
28/12/2017,177.92
29/12/2017,176.46
2/1/18,181.42
3/1/18,184.67
4/1/18,184.33
5/1/18,186.85
8/1/18,188.28
9/1/18,187.87
10/1/18,187.84
11/1/18,187.77
12/1/18,179.37
16/01/2018,178.39
17/01/2018,177.6
18/01/2018,179.8
19/01/2018,181.29
22/01/2018,185.37
23/01/2018,189.35
24/01/2018,186.55
25/01/2018,187.48
26/01/2018,190
29/01/2018,185.98
30/01/2018,187.12
31/01/2018,186.89
